Local Authority,Estimated proportion of people living with cataract,Latitude,Longitude,Estimated indirect cost of sight loss,Estimated indirect cost of sight loss per person,Estimated number of adults with diabetes,Estimated number of people living with cataract,"Estimated number of people living with Drusen, an early stage age-related macular degeneration",Estimated number of people living with late stage age-related macular degeneration,Estimated number of people living with late stage dry age-related macular degeneration,Estimated number of people living with late stage wet age-related macular degeneration,Estimated number of people living with ocular hypertension,Estimated number of people living with severe sight loss (blindness) in 2011,Estimated number of people living with severe sight loss (blindness) in 2020,Estimated number of people living with severe sight loss (blindness) in 2030,Estimated number of people living with sight loss in 2011,Estimated number of people predicted to be living with sight loss in 2020,Estimated number of people predicted to be living with sight loss in 2030,Estimated proportion of adults with diabetes,"Estimated proportion of people living with Drusen, an early stage age-related macular degeneration",Estimated proportion of people living with glaucoma,Estimated proportion of people living with late stage age-related macular degeneration,Estimated proportion of people living with late stage wet age-related macular degeneration,Estimated proportion of people living with ocular hypertension,Estimated proportion people living with late stage dry age-related macular degeneration,"Estimated rate of NHS sight tests for children aged 0-1per 100,000 population","Estimated rate of NHS sight tests for people aged 60 years and over per 100,000 population","Estimated rate of NHS sight tests per 100,000 population",Estimated total number of people living with glaucoma,Number of NHS sight tests in 2012/13,Number of NHS sight tests recorded for people aged 0-15,Number of NHS sight tests recorded for people aged 60 years and over,Number of NHS sight tests recorded for students aged 16-18,Number of older people living with sight loss 85 and over,Number of older people living with sight loss aged 65-74,Number of older people living with sight loss aged 75-84,Number of people registered blind aged 0-4,Number of people registered blind aged 75+,Number of Records,ONS Area Code,Percentage change in number of registered blind or partially sighted people from 2010/1to 2013/14,Percentage of people living with sight loss compared to overall population in 2011,Percentage of people living with sight loss compared to overall population in 2020,Percentage of people living with sight loss compared to overall population in 2030,Proportion of population aged 0-4,Proportion of population aged 18-29,Proportion of population aged 30-49,Proportion of population aged 5-17,Proportion of population aged 50-64,Proportion of population aged 65-74,Proportion of population aged 75-84,Proportion of population aged 85+,"Rate of registration as blind or partially sighted per 100,000 people",Total number of people registered blind,Total number of people registered partially sighted,Total population,Total population aged 0-4,Total population aged 18-29,Total population aged 30-49,Total population aged 5-17,Total population aged 50-64,Total population aged 65-74,Total population aged 75-84,Total population aged 85+
Cumbria,0.011443250,54.577232,-2.797483,50192000,100.4,34400,5720,23863,5252,1823,3713,10899,2150,2710,"3,600",17760,21660,"27,410",0.068819545,0.047739558,0.010016845,0.010506984,0.007428110,0.021804192,0.003647036,"21,974","43,067","25,996",5007,"129,930","18,300","60,929","3,893",5430.06,3586.68,4978.32,0,925,1,E10000006,-0.5%,0.0355,0.0424,5.25%,0.0505,0.1268,0.2603,0.1413,0.2153,0.1109,0.0684,0.0266,617,"1,400","1,685",499858,25248,63388,130092,70627,107614,55410,34201,13278
Northamptonshire,0.008513596,52.272994,-0.875552,54491000,78.76,42175,5891,25488,5403,1862,3828,13981,2270,3000,"4,300",19280,24940,"33,810",0.060950760,0.036834925,0.009280991,0.007808345,0.005532176,0.020205159,0.002690938,"28,678","41,357","22,652",6422,"157,197","39,674","62,729","6,593",5751.17,3727.1,4915.81,10,"1,330",1,E10000021,12.5%,0.0279,0.0321,3.95%,0.0665,0.1437,0.2894,0.1584,0.1888,0.084,0.049,0.0202,512,"2,040","1,505",691952,46012,99445,200225,109592,130642,58129,33935,13972
Surrey,0.010074268,51.2622513,-0.467251700,102545000,90.56,71636,11408,46313,10558,3650,7491,23562,4450,5640,"7,510",36290,44830,"57,450",0.063260891,0.040898454,0.009558544,0.009323643,0.006615212,0.020807319,0.003223271,"24,171","48,712","21,607",10824,"244,671","52,812","128,524","8,190",12420.97,6323,9670.04,10,"1,565",1,E10000030,3.2%,0.032,0.0368,4.42%,0.063,0.132,0.2917,0.1548,0.1868,0.0864,0.0588,0.0265,381,"2,425","1,895",1132390,71306,149426,330278,175330,211584,97839,66584,30043
Stockton-on-Tees,0.008637336,54.570455,-1.328982,14969000,78.13,11622,1655,7189,1512,523,1070,3801,620,800,"1,080",5300,6630,"8,500",0.060654454,0.037518919,0.009112259,0.007891029,0.005584260,0.019837169,0.002729503,"4,581","21,360","20,565",1746,"39,449","4,581","21,360","1,916",1424.73,1049.64,1479.8,10,130,1,E06000004,-17.4%,0.0277,0.0324,3.96%,0.0643,0.1594,0.2723,0.1563,0.1913,0.084,0.0541,0.0182,360,250,440,191610,12322,30549,52179,29953,36656,16102,10368,3481
Wigan,0.008390777,53.545065,-2.632507,24525000,77.15,19827,2667,11953,2414,835,1703,6490,990,1250,"1,710",8680,10500,"13,530",0.062378677,0.037605907,0.009378667,0.007594801,0.005357890,0.020418501,0.002627034,"22,154","34,762","22,023",2981,"70,061","13,274","25,436","2,511",2202.39,1941.65,2273.29,10,250,1,E08000010,1.3%,0.0273,0.0317,3.88%,0.0619,0.1477,0.2859,0.1523,0.1897,0.0954,0.0501,0.017,500,570,"1,020",317849,19681,46961,90862,48407,60289,30319,15930,5400
Blackburn with Darwen,0.007214097,53.68986,-2.467863,9877000,67.01,8105,1064,4651,979,340,692,2705,400,420,540,3500,3650,"4,450",0.054953251,0.031534555,0.008427747,0.006637783,0.004691875,0.018340351,0.002305257,"30,447","42,825","28,287",1243,"41,768","10,440","11,580","1,808",952.14,665.14,925.14,10,275,1,E06000008,1.9%,0.0237,0.0243,2.84%,0.0765,0.1649,0.2764,0.1856,0.1675,0.0702,0.0431,0.0159,905,540,795,147489,11278,24320,40763,27367,24700,10356,6360,2345
Central Bedfordshire,0.008534442,51.978006,-0.527598,19941000,78.41,15863,2171,9544,1962,674,1390,5264,820,1100,"1,560",7060,9190,"12,380",0.062359217,0.037518525,0.009505427,0.007712840,0.005464245,0.020693369,0.002649569,"19,465","62,692","22,203",2418,"56,761","9,800","35,275","2,349",1908.05,1408.49,1903.02,10,285,1,E06000056,11.8%,0.0278,0.0316,3.88%,0.0629,0.1318,0.2935,0.1586,0.1963,0.0863,0.052,0.0185,391,520,475,254381,16009,33523,74673,40341,49946,21945,13232,4712
Southampton,0.007653600,50.9097,-1.404351,16662000,70.33,12686,1813,7384,1687,584,1197,4127,710,860,"1,070",5900,6930,"8,320",0.053554090,0.031171638,0.008003985,0.007121689,0.005053149,0.017422176,0.002465363,"25,027","51,505","19,872",1896,"46,873","10,371","21,555","2,034",1934.36,993.16,1557.14,10,315,1,E06000045,6.0%,0.0249,0.0289,3.36%,0.065,0.2608,0.2688,0.1298,0.1456,0.0652,0.045,0.0197,564,620,715,236882,15407,61771,63685,30742,34501,15443,10661,4672
Doncaster,0.009470837,53.52282,-1.128462,25518000,84.39,18804,2864,12111,2619,906,1854,6084,1080,1290,"1,660",9030,10550,"13,010",0.062182128,0.040049338,0.009242664,0.008660657,0.006130912,0.020118915,0.002996012,"25,996","43,255","24,605",2795,"74,423","14,925","30,402","2,161",2599.24,1755.78,2565.01,10,335,1,E08000017,-7.6%,0.0299,0.0348,4.18%,0.0636,0.1551,0.2673,0.1527,0.1923,0.0896,0.0584,0.0211,561,620,"1,075",302402,19220,46892,80830,46180,58139,27109,17660,6372
Lambeth,0.004345301,51.457148,-0.123068,13456000,44.39,14435,1317,5911,1190,407,846,5356,510,590,710,4760,5350,"6,380",0.047626746,0.019502715,0.008116508,0.003926278,0.002791287,0.017671552,0.001342853,0,"123,311","13,079",2460,"39,822",0,"39,822",0,1130.39,822.12,1115.22,10,340,1,E09000022,-8.2%,0.0157,0.0166,1.85%,0.0683,0.2487,0.357,0.1309,0.1187,0.0416,0.0255,0.0094,386,790,380,303086,20701,75364,108188,39661,35985,12617,7725,2845
Rotherham,0.009476057,53.432604,-1.363501,22006000,85.56,16294,2438,10462,2231,773,1577,5260,920,1090,"1,430",7790,8950,"11,190",0.063331779,0.040663868,0.009390547,0.008671486,0.006129509,0.020444652,0.003004509,"19,967","42,471","20,031",2416,"51,622","9,859","26,241","1,668",2258.78,1602.19,2107.7,10,415,1,E08000018,-16.9%,0.0303,0.0337,4.09%,0.0612,0.1432,0.2692,0.1567,0.1954,0.0963,0.0566,0.0214,705,775,"1,040",257280,15738,36854,69264,40321,50261,24783,14560,5499
Bromley,0.009964705,51.406025,0.013156,27455000,88.74,19293,3083,12448,2870,994,2037,6423,1190,1410,"1,790",9710,11440,"14,160",0.062357786,0.040233749,0.009534830,0.009276258,0.006583881,0.020760071,0.003212753,"27,098","56,325","23,767",2950,"73,809","16,463","39,882","2,952",3215.4,1664,2707.35,10,440,1,E09000006,-35.2%,0.0314,0.0327,3.70%,0.0649,0.1299,0.2988,0.1564,0.1817,0.0833,0.0596,0.0253,414,665,615,309392,20095,40188,92444,48403,56225,25770,18452,7815
Leicester,0.006660825,52.636878,-1.139759,20443000,61.97,16839,2197,9302,2024,699,1436,5604,850,910,"1,160",7230,7760,"9,600",0.051052180,0.028201638,0.007803807,0.006136327,0.004353639,0.016990107,0.002119216,0,"77,845","30,272",2574,"99,784",0,"40,173",0,2150.48,1224.73,1888.49,10,495,1,E06000016,0.2%,0.0219,0.0228,2.58%,0.0737,0.2329,0.268,0.1625,0.1501,0.0573,0.0392,0.0163,673,"1,030","1,190",329839,24297,76819,88407,53590,49510,18888,12936,5392
Gloucestershire,0.010668628,51.864211,-2.238034,56694000,94.96,39001,6369,26128,5880,2031,4170,12526,2450,3110,"4,210",20060,24840,"32,090",0.065330059,0.043766667,0.009638449,0.009849510,0.006985112,0.020982137,0.003402101,"21,462","40,676","22,324",5754,"133,560","22,923","61,847","4,369",6646.92,3763.81,5382.07,10,800,1,E10000013,-14.4%,0.0336,0.0397,4.89%,0.056,0.1396,0.2712,0.1487,0.198,0.0975,0.0619,0.0271,465,"1,250","1,525",596984,33438,83315,161874,88787,118215,58210,36976,16169
Durham,0.009794600,54.77525,-1.5848,44810000,87.3,33178,5027,21627,4582,1585,3241,10627,1870,2350,"3,100",15860,19200,"24,150",0.064643969,0.042138017,0.009512082,0.008927562,0.006314760,0.020705632,0.003088212,"16,184","69,758","21,742",4882,"111,535","16,184","69,758","4,777",4409.26,3292.48,4414.41,10,970,1,E06000047,2.2%,0.0309,0.036,4.35%,0.0557,0.1579,0.2644,0.1393,0.2027,0.0991,0.0597,0.0211,688,"1,570","1,960",513242,28574,81061,135687,71517,104058,50883,30635,10827
West Susse-,0.012277975,50.928014,-0.461707,86269000,106.91,54190,9907,38784,9238,3204,6554,17293,3830,4720,"6,330",30530,37130,"47,930",0.067158926,0.048065912,0.009845184,0.011448868,0.008122524,0.021431617,0.003970792,"25,321","60,702","25,257",7944,"204,309","36,770","134,772","5,503",10981.03,5295.16,8569.76,105,"2,155",1,E10000032,-42.1%,0.0378,0.0429,5.17%,0.0576,0.1268,0.2693,0.1458,0.194,0.1015,0.0721,0.0329,565,"2,780","1,775",806892,46486,102337,217284,117650,156560,81862,58142,26571
Wiltshire,0.010287039,51.246271,-1.992213,43380000,92.1,30424,4845,20101,4463,1544,3162,9816,1860,2440,"3,400",15350,19540,"25,880",0.064597086,0.042679004,0.009573635,0.009475966,0.006713647,0.020841605,0.003278264,"22,944","42,215","23,572",4509,"111,808","20,904","49,648","4,422",4961.95,2908.11,4112.51,15,"1,570",1,E06000054,20.0%,0.0326,0.0402,5.08%,0.0602,0.1292,0.2727,0.1593,0.1971,0.0957,0.0604,0.0254,796,"1,940","1,810",470981,28373,60836,128414,75027,92843,45070,28456,11962
Hertfordshire,0.009093581,51.809782,-0.237674,91706000,82.17,67622,10149,41818,9367,3241,6643,22487,3920,4910,"6,480",32450,39740,"50,720",0.060589824,0.037469245,0.009255758,0.008392903,0.005952178,0.020148522,0.002903961,"34,847","48,117","25,950",10330,"290,593","78,058","114,288","20,639",10307.77,5668.86,8919.38,15,"2,095",1,E10000015,5.3%,0.0291,0.0328,3.85%,0.0664,0.1438,0.2952,0.1602,0.1786,0.0785,0.0549,0.0225,560,"3,115","3,140",1116062,74066,160520,329452,178765,199344,87590,61248,25077
Manchester,0.005453891,53.480759,-2.242631,26643000,52.96,23728,2744,11723,2532,879,1792,7981,1070,1250,"1,510",9430,10710,"12,680",0.047161055,0.023300280,0.007286431,0.005032527,0.003561725,0.015862794,0.001747074,"21,984","25,624","20,456",3666,"102,874","21,484","16,888","3,847",2667.9,1613.5,2384.72,15,630,1,E08000003,-16.4%,0.0187,0.02,2.18%,0.0724,0.2893,0.2784,0.1426,0.1228,0.0492,0.0326,0.0127,566,"1,455","1,395",503127,36413,145558,140077,71739,61796,24767,16404,6373
Devon,0.013037263,50.777213,-3.999461,84696000,113.47,52221,9731,38752,9039,3130,6409,16234,3740,4610,"6,200",29970,36270,"46,550",0.069963920,0.051918612,0.009991975,0.012110145,0.008586560,0.021749761,0.004193468,"27,230","37,369","26,244",7458,"196,232","33,514","84,899","7,030",10637.38,5567.19,8259.47,15,975,1,E10000008,-2.7%,0.0402,0.0462,5.66%,0.0502,0.1317,0.2431,0.1384,0.2109,0.1158,0.0754,0.0345,488,"1,720","1,925",746399,37479,98321,181452,103281,157440,86420,56246,25760
Bradford,0.007744252,53.795984,-1.759398,36979000,70.79,28529,4046,17022,3732,1293,2643,9526,1550,1820,"2,310",13090,15080,"18,470",0.054605973,0.032580984,0.008375889,0.007143240,0.005058838,0.018233254,0.002474869,"22,748","62,211","25,954",4376,"135,771","27,830","60,070","4,165",3925.94,2309.39,3549.44,20,715,1,E08000032,-3.3%,0.0251,0.0274,3.14%,0.0788,0.1688,0.2726,0.1826,0.1643,0.0679,0.0465,0.0184,588,"1,445","1,625",522452,41167,88195,142445,95412,85841,35488,24300,9604
Leeds,0.008346141,53.800755,-1.549077,56750000,75.52,42953,6272,26103,5774,2002,4088,14026,2390,2980,"3,740",20080,24360,"29,630",0.057157495,0.034735224,0.008573691,0.007683453,0.005439896,0.018664378,0.002664058,"28,753","51,760","22,961",6443,"172,363","39,603","77,786","6,168",6007.64,3664.58,5607.64,25,"1,330",1,E08000035,-9.7%,0.0267,0.0287,3.26%,0.0637,0.2109,0.2744,0.1422,0.163,0.0751,0.0513,0.0194,604,"2,290","2,250",751485,47844,158490,206204,106827,122522,56455,38561,14582
Birmingham,0.007455419,52.4862429,-1.89,73075000,68.1,56331,8000,32946,7384,2561,5232,18667,3070,3470,"4,210",25860,28720,"34,110",0.052496400,0.030703279,0.007991277,0.006881352,0.004875844,0.017396288,0.002386666,"23,815","49,392","26,681",8575,"286,294","58,272","91,202","17,496",7855.53,4555.4,7142.15,25,"2,400",1,E08000025,0.3%,0.0241,0.0252,2.76%,0.0763,0.2009,0.271,0.1791,0.1438,0.0653,0.0457,0.0178,721,"3,910","3,830",1073045,81901,215578,290767,192234,154352,70102,49043,19068
NORTH EAST,0.009666963,,,223247000,85.97,163686,25104,106507,23012,7978,16280,52734,9410,11630,"14,980",79000,94710,"116,730",0.063031646,0.041013352,0.009328480,0.008861382,0.006269047,0.020306629,0.003072141,"19,195","53,280","23,737",24225,"616,434","88,765","329,305","32,437",22610.21,15536.96,22409.16,40,"3,745",1,E12000001,1.1%,0.0304,0.0354,4.25%,0.0577,0.1629,0.2648,0.1449,0.1967,0.0921,0.0596,0.0213,574,"6,460","8,435",2596886,149843,422906,687553,376199,510900,239242,154863,55380
Cornwall,0.012063358,50.50363,-4.652498,56300000,105.77,36886,6421,26517,5920,2047,4194,11595,2440,3180,"4,350",19920,25210,"32,760",0.069299025,0.049818420,0.010006143,0.011122112,0.007879415,0.021783934,0.003845771,"25,799","39,591","25,291",5326,"135,555","23,301","63,149","4,277",6487.19,3971.98,5464.97,5,"1,090",1,E06000052,13.2%,0.0374,0.0436,5.32%,0.0514,0.1267,0.2482,0.1412,0.2161,0.116,0.0709,0.0295,612,"1,640","1,615",532273,27366,67425,132084,75150,115007,61767,37746,15728
O-fordshire,0.009048666,51.761206,-1.246467,53667000,82.08,39355,5916,24547,5436,1877,3854,12879,2280,2950,"3,970",18990,23630,"30,430",0.060194433,0.037545236,0.009048666,0.008314495,0.005894787,0.019698745,0.002870917,"22,626","30,415","21,579",5916,"141,082","27,658","43,114","9,069",6068.51,3507.3,5023.93,5,"1,110",1,E10000025,-13.8%,0.029,0.0357,4.45%,0.0628,0.1734,0.2806,0.1482,0.1763,0.0832,0.053,0.0225,472,"1,675","1,410",653798,41056,113360,183473,96905,115262,54422,34637,14683
Nottinghamshire,0.010010155,53.128504,-0.9031,70164000,89.29,51129,7866,33300,7198,2487,5096,16531,2960,3800,"5,130",24830,30800,"39,720",0.065066009,0.042377087,0.009664012,0.009160068,0.006485094,0.021037106,0.003164919,"16,855","45,959","24,188",7594,"190,069","23,988","89,876","4,373",7329.61,4977.78,6830.94,5,"1,120",1,E10000024,1.0%,0.0316,0.0364,4.38%,0.0576,0.1361,0.2761,0.1489,0.2,0.0983,0.0599,0.0231,557,"1,770","2,605",785802,45259,106920,216945,117044,157187,77221,47073,18153
Cambridgeshire,0.009149885,52.205297,0.12182,51469000,82.85,38125,5684,23773,5226,1804,3704,12496,2180,2900,"4,100",18210,23490,"31,560",0.061372161,0.038268862,0.009240032,0.008412614,0.005962557,0.020115581,0.002904010,"25,883","36,332","21,070",5740,"131,119","29,202","50,653","6,532",5675.43,3415.49,4850.98,5,"1,165",1,E10000003,5.2%,0.0293,0.0355,4.41%,0.0593,0.1658,0.2847,0.1463,0.1826,0.0855,0.0535,0.0223,502,"1,760","1,360",621210,36828,103020,176868,90852,113413,53140,33216,13873
Staffordshire,0.009944737,52.769796,-2.104524,75737000,89.26,55622,8438,36247,7710,2669,5449,17854,3180,4260,"5,880",26800,34300,"44,820",0.065554179,0.042719470,0.009666596,0.009086741,0.006422004,0.021042111,0.003145592,"5,541","79,315","24,421",8202,"207,209","8,315","171,383","1,922",7718.92,5654.19,7250.73,5,"1,210",1,E10000028,0.4%,0.0316,0.0388,4.83%,0.0543,0.1402,0.2714,0.1479,0.2013,0.1035,0.0593,0.0221,470,"1,950","2,040",848489,46089,118962,230274,125487,170823,87789,50278,18787
Lincolnshire,0.011383684,53.217882,-0.19997,70882000,99.33,48389,8124,33719,7399,2553,5238,15243,3030,4030,"5,590",25080,32300,"42,780",0.067804661,0.047248453,0.009811491,0.010367784,0.007339702,0.021359120,0.003577369,"15,521","48,184","26,357",7002,"188,094","18,917","96,673","4,230",7681.51,5176.59,7011.46,5,"1,225",1,E10000019,12.5%,0.0351,0.0403,4.87%,0.0523,0.1374,0.2549,0.1428,0.2053,0.1125,0.0683,0.0264,610,"1,920","2,435",713653,37351,98034,181934,101935,146548,80273,48767,18811
East Susse-,0.013566344,50.928598,0.27649,62145000,117.99,36809,7145,27746,6690,2323,4746,11457,2790,3450,"4,590",21990,26740,"34,340",0.069889931,0.052681845,0.009992956,0.012702427,0.009011318,0.021753618,0.004410723,"24,620","52,657","24,942",5263,"131,363","22,443","83,874","3,550",8301.57,3800.13,6066.36,5,"1,430",1,E10000011,-13.5%,0.0418,0.0489,5.91%,0.0521,0.1219,0.2471,0.1462,0.2053,0.1116,0.0781,0.0377,741,"1,915","1,990",526671,27456,64201,130162,76985,108104,58766,41131,19866
Derbyshire,0.010241839,53.122322,-1.513682,71003000,92.25,51016,7883,33434,7245,2507,5125,16435,3010,3870,"5,320",25120,31340,"40,940",0.066281575,0.043438493,0.009809195,0.009412929,0.006658559,0.021352863,0.003257172,"22,592","36,423","21,277",7550,"163,769","30,902","71,993","6,567",7685.53,4998.69,6750.55,5,"1,465",1,E10000007,-14.6%,0.0326,0.0384,4.72%,0.054,0.1292,0.2761,0.1496,0.2055,0.1011,0.0604,0.0242,716,"2,315","3,195",769686,41545,99415,212541,115121,158173,77789,46475,18627
Lancashire,0.010050037,53.969009,-2.627691,104827000,89.49,74736,11772,49328,10826,3753,7659,23904,4460,5520,"7,290",37090,44780,"56,480",0.063803903,0.042112488,0.009374741,0.009242414,0.006538671,0.020407414,0.003204025,"24,637","37,646","23,842",10981,"279,267","52,817","109,089","9,053",11278.09,7326.28,10216.38,5,"1,545",1,E10000017,-12.7%,0.0317,0.0359,4.32%,0.0586,0.1543,0.2636,0.1494,0.1939,0.0968,0.0601,0.0234,535,"2,800","3,470",1171339,68591,180765,308731,174978,227081,113367,70377,27449
Norfolk,0.012247519,52.6139,0.886,90757000,105.79,58478,10507,42219,9643,3334,6833,18279,3970,5040,"6,810",32110,39840,"51,410",0.068165075,0.049212718,0.009787991,0.011240395,0.007964909,0.021306977,0.003886288,"25,620","34,638","25,806",8397,"221,384","37,146","86,082","7,410",10596.32,6200.36,9191.69,5,"1,715",1,E10000020,-19.6%,0.0374,0.0431,5.18%,0.0542,0.1417,0.2504,0.1382,0.1995,0.112,0.0738,0.0301,582,"2,585","2,405",857888,46531,121563,214854,118576,171133,96126,63291,25814
Darlington,0.009937100,54.52361,-1.559458,9313000,88.19,6654,1049,4357,967,336,684,2163,400,480,630,3300,3870,"4,880",0.063032852,0.041273540,0.009416089,0.009160320,0.006479482,0.020489940,0.003182903,"3,247","13,897","25,419",994,"26,838","3,247","13,897","1,958",1020.09,629.53,904.06,5,145,1,E06000005,30.1%,0.0313,0.0367,4.48%,0.0623,0.1424,0.2739,0.1549,0.1918,0.092,0.0585,0.0242,635,270,400,105564,6579,15035,28911,16349,20251,9717,6172,2550
Bedford,0.009112326,52.135973,-0.466655,12867000,81.7,9503,1435,5949,1316,453,933,3130,550,720,990,4550,5850,"7,730",0.060344554,0.037776465,0.009131376,0.008356670,0.005924599,0.019875666,0.002876574,"19,465","62,692","22,203",1438,"35,045","6,051","21,779","1,451",1386.86,826.07,1271.17,5,150,1,E06000055,19.1%,0.0289,0.0327,3.96%,0.0641,0.151,0.2828,0.1637,0.1805,0.081,0.0551,0.0218,416,325,330,157479,10099,23779,44531,25776,28426,12761,8680,3427
Barking & Dagenham,0.006390154,51.541356,0.083857,11062000,59.51,9134,1188,4845,1120,390,795,3185,460,500,580,3910,4330,"5,050",0.049131036,0.026060857,0.007869357,0.006024388,0.004276240,0.017131853,0.002097778,"20,767","30,471","18,288",1463,"34,203","10,077","7,967","1,541",1220.17,598.83,1044.62,5,165,1,E09000002,7.4%,0.021,0.0196,2.00%,0.1005,0.1766,0.2995,0.1876,0.132,0.0499,0.0376,0.0165,468,425,445,185911,18676,32829,55679,34868,24538,9276,6982,3063
Poole,0.012299773,50.71505,-1.987248,15755000,106.74,9862,1816,7037,1693,586,1202,3142,700,830,"1,090",5570,6510,"8,220",0.066795354,0.047661621,0.009773443,0.011466694,0.008141149,0.021280775,0.003968980,"25,488","50,083","25,592",1443,"37,895","6,151","18,545","1,129",2014.58,944.54,1586.44,5,175,1,E06000029,-47.5%,0.0377,0.0419,4.96%,0.0572,0.1372,0.2705,0.1406,0.1902,0.0986,0.0723,0.0333,433,280,360,147645,8450,20253,39933,20766,28085,14563,10676,4919
Suffolk,0.011382067,52.187247,0.97078,72641000,99.75,48154,8288,33559,7607,2625,5395,15297,3160,4030,"5,580",25700,32010,"42,250",0.066130798,0.046087208,0.009650312,0.010446837,0.007409055,0.021007659,0.003604962,"33,869","38,667","27,103",7027,"197,354","45,012","76,036","8,431",8556.85,4852.24,7117.2,5,"2,050",1,E10000029,12.8%,0.0353,0.0415,5.12%,0.058,0.1358,0.2604,0.1497,0.1969,0.1033,0.0674,0.0285,586,"2,780","1,485",728163,42226,98873,189601,109030,143394,75241,49070,20728
Kent,0.010204681,51.278708,0.521725,133365000,91.12,92708,14937,61506,13801,4778,9778,29829,5730,7170,"9,780",47190,57780,"75,330",0.063336385,0.042019758,0.009361635,0.009428587,0.006680148,0.020378619,0.003264241,"26,975","41,169","23,912",13703,"350,009","76,488","147,709","13,710",15266.66,8868.07,12823.37,5,"2,855",1,E10000016,11.6%,0.0322,0.037,4.48%,0.0609,0.1426,0.2681,0.1597,0.1895,0.0939,0.0601,0.0252,597,"4,345","4,390",1463740,89076,208768,392444,233737,277409,137517,87948,36841
Bury,0.008748514,53.59335,-2.296605,14711000,79.48,11314,1619,6992,1477,510,1044,3728,610,760,995,5210,6270,"7,880",0.061136929,0.037782341,0.009256457,0.007981195,0.005641414,0.020144818,0.002755863,"26,986","35,628","23,941",1713,"44,391","10,022","14,765","1,898",1473.33,1053.27,1387.26,5,225,1,E08000002,-29.5%,0.0281,0.0312,3.66%,0.0661,0.1438,0.2828,0.1606,0.1871,0.088,0.052,0.0196,516,365,590,185060,12235,26607,52331,29717,34630,16292,9623,3625
Warrington,0.008569535,53.390044,-2.59695,15819000,78.23,12533,1733,7569,1582,548,1117,4127,650,860,"1,190",5600,7150,"9,400",0.061974603,0.037428052,0.009375556,0.007822853,0.005523469,0.020407659,0.002709813,"21,817","41,990","22,572",1896,"45,755","8,460","18,873","3,204",1511.2,1177.48,1486.39,5,255,1,E06000007,-2.3%,0.0277,0.032,3.87%,0.0609,0.1446,0.2913,0.1568,0.1871,0.09,0.0509,0.0184,517,465,580,202228,12309,29248,58918,31701,37838,18198,10294,3722
Reading,0.006756670,51.454264,-0.9781,9983000,64.12,8131,1052,4336,967,334,686,2808,420,510,640,3530,4110,"4,960",0.052222893,0.027848784,0.008285270,0.006210741,0.004405965,0.018034914,0.002145178,"23,511","54,346","20,470",1290,"31,798","7,296","16,625","1,525",1118.83,590.42,911.4,5,260,1,E06000038,10.8%,0.0227,0.0279,3.30%,0.0767,0.222,0.311,0.1378,0.138,0.0582,0.0394,0.017,594,445,480,155698,11937,34562,48416,21458,21493,9058,6132,2642
Gateshead,0.009824488,54.95268,-1.603411,17238000,86.06,12672,1967,8246,1789,620,1266,4122,730,830,"1,010",6100,6760,"7,950",0.063292277,0.041185931,0.009459878,0.008935439,0.006323234,0.020587971,0.003096687,"5,931","27,073","24,315",1894,"48,714","5,931","27,073","3,124",1703.49,1221.6,1781.16,5,265,1,E08000020,-4.1%,0.0305,0.0342,3.94%,0.0593,0.1554,0.2773,0.1419,0.1901,0.0929,0.062,0.0211,584,470,700,200214,11869,31116,55519,28407,38058,18608,12412,4225
Calderdale,0.008968434,53.716157,-1.85846,16726000,82.07,12631,1828,7854,1699,590,1202,4168,700,870,"1,160",5920,7160,"9,170",0.061969523,0.038532866,0.009390362,0.008335541,0.005897187,0.020448814,0.002894626,"25,431","49,057","25,215",1914,"51,482","10,196","22,592","2,799",1767.67,1135.48,1549.78,5,270,1,E08000033,1.1%,0.029,0.0329,3.98%,0.0633,0.1386,0.2837,0.1591,0.196,0.0863,0.0519,0.0211,466,465,485,203826,12906,28246,57824,32438,39940,17593,10585,4294
Hackney,0.003890039,53.156314,-1.575022,9955000,40.43,11064,958,4426,859,293,611,4126,370,500,630,3520,4450,"5,500",0.044926300,0.017972144,0.007698867,0.003488042,0.002481017,0.016753969,0.001189751,"25,926","42,539","20,855",1896,"53,096","13,430","11,160","2,455",763.62,620.79,818.69,5,270,1,E09000012,1.9%,0.0143,0.0174,1.97%,0.0778,0.2474,0.3407,0.1512,0.1123,0.0393,0.0234,0.0079,441,610,475,246270,19149,60925,83903,37246,27652,9673,5775,1947
Kensington & Chelsea,0.006574261,51.501,-0.19439,10233000,64.48,8975,1043,4630,944,321,672,3232,410,780,"1,070",3620,6130,"7,970",0.056571425,0.029183922,0.009360286,0.005950242,0.004235766,0.020372016,0.002023335,"21,726","35,790","13,200",1485,"20,889","5,317","9,799",906,1043.09,707.27,832.62,5,270,1,E09000020,2.4%,0.0228,0.0374,4.78%,0.0579,0.1951,0.3565,0.1103,0.1597,0.0689,0.0361,0.0156,539,515,340,158649,9189,30954,56553,17501,25337,10928,5720,2467
