Local Authority,Estimated proportion of people living with cataract,Latitude,Longitude,Estimated indirect cost of sight loss,Estimated indirect cost of sight loss per person,Estimated number of adults with diabetes,Estimated number of people living with cataract,"Estimated number of people living with Drusen, an early stage age-related macular degeneration",Estimated number of people living with late stage age-related macular degeneration,Estimated number of people living with late stage dry age-related macular degeneration,Estimated number of people living with late stage wet age-related macular degeneration,Estimated number of people living with ocular hypertension,Estimated number of people living with severe sight loss (blindness) in 2011,Estimated number of people living with severe sight loss (blindness) in 2020,Estimated number of people living with severe sight loss (blindness) in 2030,Estimated number of people living with sight loss in 2011,Estimated number of people predicted to be living with sight loss in 2020,Estimated number of people predicted to be living with sight loss in 2030,Estimated proportion of adults with diabetes,"Estimated proportion of people living with Drusen, an early stage age-related macular degeneration",Estimated proportion of people living with glaucoma,Estimated proportion of people living with late stage age-related macular degeneration,Estimated proportion of people living with late stage wet age-related macular degeneration,Estimated proportion of people living with ocular hypertension,Estimated proportion people living with late stage dry age-related macular degeneration,"Estimated rate of NHS sight tests for children aged 0-1per 100,000 population","Estimated rate of NHS sight tests for people aged 60 years and over per 100,000 population","Estimated rate of NHS sight tests per 100,000 population",Estimated total number of people living with glaucoma,Number of NHS sight tests in 2012/13,Number of NHS sight tests recorded for people aged 0-15,Number of NHS sight tests recorded for people aged 60 years and over,Number of NHS sight tests recorded for students aged 16-18,Number of older people living with sight loss 85 and over,Number of older people living with sight loss aged 65-74,Number of older people living with sight loss aged 75-84,Number of people registered blind aged 0-4,Number of people registered blind aged 75+,Number of Records,ONS Area Code,Percentage change in number of registered blind or partially sighted people from 2010/1to 2013/14,Percentage of people living with sight loss compared to overall population in 2011,Percentage of people living with sight loss compared to overall population in 2020,Percentage of people living with sight loss compared to overall population in 2030,Proportion of population aged 0-4,Proportion of population aged 18-29,Proportion of population aged 30-49,Proportion of population aged 5-17,Proportion of population aged 50-64,Proportion of population aged 65-74,Proportion of population aged 75-84,Proportion of population aged 85+,"Rate of registration as blind or partially sighted per 100,000 people",Total number of people registered blind,Total number of people registered partially sighted,Total population,Total population aged 0-4,Total population aged 18-29,Total population aged 30-49,Total population aged 5-17,Total population aged 50-64,Total population aged 65-74,Total population aged 75-84,Total population aged 85+
Sunderland,0.009382736,54.906869,-1.383801,22940000,83.27,17406,2585,11180,2360,818,1669,5638,960,1170,"1,480",8120,9640,"11,670",0.063178297,0.040579878,0.009400884,0.008566057,0.006057944,0.020464164,0.002969082,"8,360","26,475","22,286",2590,"61,360","8,360","26,475","3,185",2115.92,1628.62,2382.96,0,445,1,E08000024,2.5%,0.0295,0.0336,4.02%,0.0558,0.161,0.2679,0.1436,0.2018,0.0909,0.0603,0.0187,664,780,"1,050",275506,15378,44362,73798,39567,55608,25031,16600,5162
Wolverhampton,0.009423979,52.586973,-2.12882,20647000,82.79,14846,2351,9483,2162,750,1532,4819,890,1040,"1,270",7310,8350,"9,900",0.059510162,0.038012587,0.008874815,0.008666373,0.006141019,0.019316952,0.003006374,"32,186","43,819","30,360",2214,"75,854","15,945","23,577","3,241",2274.82,1335.57,2103.77,0,445,1,E08000031,5.1%,0.0293,0.0328,3.71%,0.0669,0.1714,0.2757,0.1581,0.1651,0.0824,0.058,0.0224,617,755,785,249470,16687,42759,68769,39441,41185,20565,14468,5596
N  E Lincolnshire,0.010049118,53.541856,-0.126374,14291000,89.54,10068,1604,6665,1472,511,1041,3219,610,720,910,5060,5770,"7,050",0.063076383,0.041756466,0.009265988,0.009222133,0.006521903,0.020167151,0.003201433,"10,170","85,326","29,248",1479,"46,685","3,075","32,870","1,311",1567.59,963.94,1412.46,0,45,1,E06000012,-78.5%,0.0317,0.0363,4.39%,0.0627,0.1545,0.2617,0.1526,0.1913,0.0923,0.0615,0.0234,110,85,90,159616,10005,24656,41775,24353,30540,14733,9813,3741
Rutland,0.011747705,52.658301,-0.639643,3786000,101.23,2532,439,1792,403,139,285,793,160,250,360,1340,1900,"2,640",0.067756697,0.047954187,0.009740694,0.010784340,0.007626642,0.021220798,0.003719661,-,-,-,364,-,-,-,-,453.24,271.91,344.4,0,45,1,E06000017,2.8%,0.0358,0.0466,5.93%,0.0496,0.1198,0.2496,0.1677,0.2032,0.1129,0.0677,0.0295,495,70,115,37369,1854,4478,9328,6266,7594,4218,2530,1101
Newham,0.003714479,51.525516,0.035216,11902000,38.66,13239,1144,5316,1024,349,729,4760,440,530,660,4210,4910,"6,030",0.042985999,0.017260637,0.007101018,0.003324848,0.002367006,0.015455348,0.001133176,"25,854","33,458","20,178",2187,"62,645","18,136","9,792","3,614",895.75,751.53,949.46,0,450,1,E09000025,-9.9%,0.0137,0.0152,1.70%,0.0824,0.2643,0.3055,0.1703,0.1106,0.0372,0.0221,0.0076,500,970,570,307984,25384,81411,94081,52444,34071,11461,6796,2336
Sutton,0.008404068,51.361428,-0.193961,14685000,77.25,11233,1598,6637,1480,512,1050,3818,620,740,950,5200,6170,"7,740",0.059075658,0.034904757,0.009224491,0.007783493,0.005522073,0.020079307,0.002692668,"19,508","42,543","17,556",1754,"33,553","7,347","14,486","1,349",1647.81,900.47,1373.52,0,455,1,E09000029,-1.2%,0.0274,0.0278,3.15%,0.0671,0.146,0.3123,0.1595,0.1719,0.0725,0.0497,0.021,660,695,560,190146,12750,27762,59381,30335,32685,13785,9448,4000
Shropshire,0.011472288,52.586485,-2.70375,30925000,101.03,20853,3512,14524,3222,1113,2282,6582,1330,1740,"2,420",10940,13800,"18,240",0.068118342,0.047444051,0.009878189,0.010524975,0.007454374,0.021500740,0.003635722,"29,258","45,042","26,075",3024,"80,077","15,489","38,825","2,708",3487.91,2200.23,3004.63,0,455,1,E06000051,5.5%,0.0357,0.0441,5.53%,0.0513,0.128,0.2578,0.1488,0.2073,0.1118,0.0676,0.0275,472,710,735,306129,15698,39171,78932,45565,63464,34212,20680,8407
Islington,0.004870831,51.546506,-0.105806,10098000,49,10089,1004,4457,904,309,642,3652,390,400,480,3570,3700,"4,420",0.048946028,0.021622802,0.008140691,0.004385688,0.003114615,0.017717404,0.001499090,"20,230","28,383","14,491",1678,"29,892","6,633","7,178","1,545",887.96,641.15,873.17,0,465,1,E09000019,5.7%,0.0173,0.0158,1.75%,0.0596,0.2697,0.3435,0.1169,0.1228,0.048,0.0292,0.0103,669,755,625,206125,12289,55602,70800,24096,25302,9885,6020,2131
Kirklees,0.008429240,52.602054,1.280326,32529000,76.99,25120,3561,15333,3272,1133,2315,8258,1350,1590,"2,100",11510,13220,"16,630",0.059461532,0.036294732,0.008980774,0.007745149,0.005479835,0.019547505,0.002681923,"23,602","48,388","23,548",3794,"99,601","20,350","43,850","7,550",3291.14,2262.73,3073.52,0,485,1,E08000034,-45.7%,0.0272,0.0304,3.62%,0.0671,0.1599,0.2773,0.1621,0.1817,0.0829,0.0499,0.019,449,790,"1,105",422458,28331,67565,117153,68487,76772,35035,21092,8023
Bracknell Forest,0.007084493,51.407695,-0.729976,7726000,68.25,6509,802,3541,737,254,522,2242,320,440,610,2730,3660,"4,870",0.057497460,0.031279537,0.009098538,0.006510313,0.004611104,0.019804779,0.002243717,"23,739","39,185","18,778",1030,"21,257","5,570","7,829",648,789.93,483.71,692.02,0,50,1,E06000036,-40.9%,0.0241,0.0289,3.61%,0.0709,0.1457,0.3163,0.1646,0.1775,0.0664,0.0419,0.0167,172,100,95,113205,8027,16495,35812,18633,20091,7520,4742,1885
Herefordshire,0.011947002,52.076516,-2.654418,19038000,103.75,12624,2192,8978,2017,698,1429,3982,830,1130,"1,540",6740,8920,"11,610",0.068804264,0.048932564,0.009968552,0.010993204,0.007788442,0.021702993,0.003804292,"28,736","37,920","24,452",1829,"44,898","9,010","20,071","1,401",2176.79,1315.02,1891.75,0,530,1,E06000019,-23.3%,0.0367,0.0449,5.47%,0.0522,0.1254,0.2554,0.1442,0.2101,0.1117,0.0719,0.029,673,805,430,183477,9580,23016,46869,26454,38542,20496,13196,5324
