hospitalcode,hospitalname,postcode
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,SE1 9RT
RJ2,LEWISHAM AND GREENWICH NHS TRUST,SE13 6LH
RJ6,CROYDON HEALTH SERVICES NHS TRUST,CR7 7YE
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SW17 0QT
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,PL26 6AD
RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,CV34 5BW
RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,ST16 3SA
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ST4 6QG
RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,DE13 0RB
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,DN33 2BA
RJN,EAST CHESHIRE NHS TRUST,SK10 3BL
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,CH2 1UL
RJX,CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST,BB7 9PE
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,SE5 9RS
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NG17 4JL
RK9,PLYMOUTH HOSPITALS NHS TRUST,PL6 8DH
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,CV2 2DX
RKE,THE WHITTINGTON HOSPITAL NHS TRUST,N19 5NF
RKL,WEST LONDON MENTAL HEALTH NHS TRUST,UB1 3EU
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,SY10 7AG
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,WV10 0QP
RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP
RLQ,WYE VALLEY NHS TRUST,HR1 2ER
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,CV10 7DJ
RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,B15 2TG
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,ST4 8HH
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NR4 7UY
RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,M23 9LT
RM3,SALFORD ROYAL NHS FOUNDATION TRUST,M6 8HD
RMC,BOLTON NHS FOUNDATION TRUST,BL4 0JR
RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,OL6 9RW
RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,NR6 5BE
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SN3 6BB
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,RG24 9NA
RN7,DARTFORD AND GRAVESHAM NHS TRUST,DA2 8DA
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,DY1 2HQ
RNK,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,NW3 5BA
RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,CA28 8JG
RNN,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,CA1 3SX
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NN16 8UZ
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NN1 5BD
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,OX4 2GX
RNZ,SALISBURY NHS FOUNDATION TRUST,SP2 8BJ
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,NN15 7PW
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,WC1N 3JH
RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,DN2 5LT
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,EC1V 2PD
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,NG34 8GG
RPA,MEDWAY NHS FOUNDATION TRUST,ME7 5NY
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,RH19 3DZ
RPG,OXLEAS NHS FOUNDATION TRUST,DA2 7WG
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,SW3 6JJ
RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,B4 6NH
RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,L7 8XP
RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,CM1 7ET
RQF,VELINDRE NHS TRUST,CF15 7QZ
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,SW10 9NH
RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,PE29 6NT
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,CM20 1QX
RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,E9 6SR
RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,SW17 7DJ
RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,B9 5ST
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NE9 6SX
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,LS9 7TF
RRD,NORTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,CM2 0QX
RRE,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,ST16 3SR
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",WN1 2NN
RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,B31 2AP
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,B15 2TH
RRP,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",N15 3TH
RRU,LONDON AMBULANCE SERVICE NHS TRUST,SE1 8SD
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NW1 2PG
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,CB21 5EF
RT2,PENNINE CARE NHS FOUNDATION TRUST,OL6 7SR
RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,SW3 6NP
RT4,WELSH AMBULANCE SERVICES NHS TRUST,LL17 0WA
RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,LE4 8PQ
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NE7 7DN
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,GL53 7AG
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NE29 8NH
RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,DE22 3NE
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,OX3 9DU
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,KT16 0PZ
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,RH1 5RH
RTQ,2GETHER NHS FOUNDATION TRUST,GL1 1LY
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,TS4 3BW
RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,WA2 8WA
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,LA9 7RG
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,NW1 2PL
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,SE5 8AZ
RV9,HUMBER NHS FOUNDATION TRUST,HU10 6ED
RVJ,NORTH BRISTOL NHS TRUST,BS10 5NB
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,SN15 1GG
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,SM5 1AA
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,CT1 3NG
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,TS24 9AH
RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,PR8 6PN
RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,SO40 2RZ
RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,M13 9WL
RW4,MERSEY CARE NHS FOUNDATION TRUST,L3 1DL
RW5,LANCASHIRE CARE NHS FOUNDATION TRUST,PR5 6AW
RW6,PENNINE ACUTE HOSPITALS NHS TRUST,M8 5RB
RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,HU3 2JZ
RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,LN2 4AX
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,LE5 4QF
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ME16 9QQ
RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,WD18 0HB
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,SG1 4AB
RWJ,STOCKPORT NHS FOUNDATION TRUST,SK2 7JE
RWK,EAST LONDON NHS FOUNDATION TRUST,E1 6LP
RWN,SOUTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,SS11 7XX
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,WR5 1DD
RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,AL3 5TL
RWV,DEVON PARTNERSHIP NHS TRUST,EX2 5AF
RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,WA5 1QG
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,RG12 1BQ
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,HD3 3EA
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NG7 2UH
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,PO19 1BX
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",DL2 2TS
RX4,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",NE3 3XT
RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NE15 8NY
RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,BL1 5DD
RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,WF2 0XQ
RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NG8 6PY
RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,CH2 1BQ
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,TN37 7PT
RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,DN4 8QN
RXF,MID YORKSHIRE HOSPITALS NHS TRUST,WF1 4EE
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,WF1 3SP
RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,BN2 5BE
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,B18 7QH
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,FY3 8NR
RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,DE22 3LZ
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PR2 9HT
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,DL3 6HX
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HP7 0JD
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,BB2 3HH
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,B1 3RB
RXV,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,M25 3BL
RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,SY3 8XQ
RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,KT22 7AD
RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,ME19 4AX
RY1,LIVERPOOL COMMUNITY HEALTH NHS TRUST,L13 1FB
RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,WN3 6PR
RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,NR1 3FR
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,AL7 1BW
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,LN5 7JH
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,LS6 1PF
RY7,WIRRAL COMMUNITY NHS FOUNDATION TRUST,CH41 5AL
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,DE45 1AD
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,TW11 8HU
RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,DY5 1LX
RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NR6 5NA
RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,BN7 2XW
RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,OX26 6HR
RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,EX2 7HY
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,CV6 6NY
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,W2 1NY
RYK,DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST,DY2 8PS
RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,BN11 2DH
RYT,PUBLIC HEALTH WALES NHS TRUST,CF11 9LJ
RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,PE27 4LG
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,B7 4BN
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,SW1E 6QP
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,ME16 9NT
